4-f	n
4-h	a
4-h'er	n
a	n
a bon march	v
a fortiori	v
a la	n
a la king	a
a la mode	a
a posteriori	a
a priori	a
a'	a
a-1	n
a-axis	n
a-bomb	n
a-frame	n
a-ok	a
a-pole	n
a/c	n
a/m	n
a/o	n
a/p	n
a/v	n
a1	a
a1c	n
aa	n
aaa	n
aaaa	n
aaal	n
aaas	n
aaberg	n
aachen	n
aae	n
aaee	n
aaf	n
aag	n
aagr	n
aalborg	n
aalesund	n
aalii	n
aalst	n
aalto	n
aam	n
aap	n
aapss	n
aar	n
aara	n
aarau	n
aardvark	n
aardwolf	n
aardwolves	n
aaren	n
aargau	n
aarhus	n
aarika	n
aaron	n
aaron's-beard	n
aaronic	a
aaronical	a
aaronite	n
aaronitic	a
aaronson	n
aas	n
aatech	n
aau	n
aaup	n
aauw	n
aavtech	n
ab	n
aba	n
abac	n
abaca	n
abaciscus	n
abacist	n
aback	v
abacli	n
abaco	n
abactinal	a
abaculus	n
abacus	n
abad	n
abadan	n
abaddon	n
abagael	n
abagail	n
abagtha	n
abailard	n
abaised	a
abakan	n
abalone	n
abamp	n
abampere	n
abana	n
abandonable	a
abandoned	a
abandonedly	v
abandonee	n
abandoner	n
abandonment	n
abantes	n
abaptiston	n
abarbarea	n
abaris	n
abas	n
abase	t
abaser	n
abash	t
abashedly	v
abashedness	n
abashment	n
abasia	n
abasic	a
abasing	t
abatable	a
abatage	n
abate	n
abated	v
abatement	n
abater	n
abating	v
abatis	n
abatjour	n
abatjours	n
abator	n
abattage	n
abattoir	n
abaxial	a
abb	n
abba	n
abbacies	n
abbacy	n
abbai	n
abbasid	n
abbate	n
abbatial	a
abbe	n
abbess	n
abbeville	n
abbey	n
abbeys	n
abbeystead	n
abbi	n
abbie	n
abbot	n
abbotcy	n
abbotsen	n
abbotsford	n
abbotship	n
abbotson	n
abbotsun	n
abbott	n
abbottson	n
abboud	n
abbr	n
abbreviate	t
abbreviated	t
abbreviating	t
abbreviation	n
abbreviator	n
abby	n
abbye	n
abc	n
abcoulomb	n
abd	n
abd-el-kadir	n
abdaria	n
abdel	n
abdella	n
abderhalden	n
abderus	n
abdias	n
abdicable	a
abdicate	v
abdicated	v
abdicating	v
abdication	n
abdicative	a
abdicator	n
abdomen	n
abdominal	a
abdominous	a
abdon	n
abdu	n
abduce	t
abduced	t
abducens	n
abducent	a
abducentes	n
abducing	t
abduct	t
abduction	n
abductor	n
abdul	n
abdul-aziz	n
abdulla	n
abe	n
abeam	v
abebi	n
abecedaries	n
abecedarium	n
abed	n
abed	v
abednego	n
abel	n
abel-meholah	n
abelard	n
abele	n
abelian	a
abell	n
abelmosk	n
abenezra	n
abeokuta	n
abepp	n
abercrombie	n
abercromby	n
aberdare	n
aberdeenshire	n
aberglaube	n
abernathy	n
abernethy	n
abernon	n
aberrance	n
aberrancy	n
aberrant	a
aberration	n
aberrational	a
abert	n
aberystwyth	n
abesse	n
abet	v
abetment	n
abettal	n
abetted	t
abetting	t
abettor	n
abey	n
